Material,Time lapse,First Derivative
38-1482-03,366.900846,-0.060002400096045745
38-1482-03,366.917513,0.0
38-1482-03,366.93418,-0.059998800023859204
38-1482-03,366.950846,0.0
38-1482-03,366.967513,0.11999760004811434
38-1482-03,366.98418,-0.05999880002405051
38-1482-03,367.000846,0.060002400095841096
38-1482-03,367.017513,-0.05999880002405051
38-1482-03,367.03418,0.11999760004811434
38-1482-03,367.050846,-0.1800072002881639
38-1482-03,367.067513,0.0
38-1482-03,367.08418,0.05999880002406383
38-1482-03,367.101107,0.177231641755667
38-1482-03,367.117773,-0.12000480019210481
38-1482-03,367.13444,-0.05999880002405051
38-1482-03,367.151107,-0.059998800023859204
38-1482-03,367.167773,0.12000480019210481
38-1482-03,367.18444,0.0
38-1482-03,367.201107,0.05999880002406383
38-1482-03,367.217773,0.060002400095841096
38-1482-03,367.23444,-0.17999640007216486
38-1482-03,367.251107,0.11999760004811434
38-1482-03,367.267773,0.060002400096045745
38-1482-03,367.28444,-0.17999640007155096
38-1482-03,367.301107,-0.17999640007217818
38-1482-03,367.317773,0.3000120004802687
38-1482-03,367.33444,0.05999880002405051
38-1482-03,367.351107,0.059998800023859204
38-1482-03,367.368066,-0.05896574090459066
38-1482-03,367.384733,0.0
38-1482-03,367.4014,-0.11999760004770509
38-1482-03,367.418066,0.0
38-1482-03,367.434733,0.05999880002406383
38-1482-03,367.4514,-0.05999880002406383
38-1482-03,367.468066,0.0
38-1482-03,367.484733,0.05999880002406383
38-1482-03,367.5014,0.0
38-1482-03,367.518066,0.0
38-1482-03,367.534733,-0.17999640007156428
38-1482-03,367.5514,0.11999760004811434
38-1482-03,367.568066,0.0
38-1482-03,367.584733,0.059998800023859204
38-1482-03,367.6014,0.0
38-1482-03,367.618066,0.0
38-1482-03,367.634993,0.059077213918551294
38-1482-03,367.634993,
38-1482-03,367.65166,0.0
38-1482-03,367.668327,0.0
38-1482-03,367.684993,0.0
38-1482-03,367.70166,0.0
38-1482-03,367.718327,0.0
38-1482-03,367.734993,-0.060002400096045745
38-1482-03,367.75166,0.0
38-1482-03,367.768327,0.05999880002405051
38-1482-03,367.784993,-0.060002400096045745
38-1482-03,367.80166,0.11999760004770509
38-1482-03,367.81862,-0.11792452830200363
38-1482-03,367.835286,0.12000480019210481
38-1482-03,367.851953,-0.11999760004811434
38-1482-03,367.86862,0.05999880002384588
38-1482-03,367.885286,0.0
38-1482-03,367.901953,0.0
38-1482-03,367.91862,0.05999880002406383
38-1482-03,367.935286,-0.06000240009585442
38-1482-03,367.951953,0.05999880002406383
38-1482-03,367.96862,-0.05999880002406383
38-1482-03,367.985286,0.06000240009605907
38-1482-03,368.001953,0.05999880002384588
38-1482-03,368.01862,-0.05999880002405051
38-1482-03,368.035286,0.0
38-1482-03,368.051953,-0.11999760004770509
38-1482-03,368.06862,0.0
38-1482-03,368.085547,0.059077213918551294
38-1482-03,368.102214,0.05999880002406383
38-1482-03,368.11888,0.0
38-1482-03,368.135547,0.0
38-1482-03,368.152214,0.05999880002384588
38-1482-03,368.16888,-0.060002400096045745
38-1482-03,368.185547,0.05999880002405051
38-1482-03,368.202214,-0.05999880002384588
38-1482-03,368.21888,0.12000480019210481
38-1482-03,368.235547,-0.11999760004811434
38-1482-03,368.252214,0.0
38-1482-03,368.26888,0.0
38-1482-03,368.285547,0.05999880002405051
38-1482-03,368.302214,-0.05999880002405051
38-1482-03,368.31888,0.060002400096045745
38-1482-03,368.335547,-0.05999880002384588
38-1482-03,368.352507,0.0
38-1482-03,368.369173,0.12000480019210481
38-1482-03,368.38584,-0.05999880002406383
38-1482-03,368.402507,0.0
38-1482-03,368.419173,-0.060002400096045745
38-1482-03,368.43584,0.05999880002405051
38-1482-03,368.452507,0.11999760004770509
38-1482-03,368.469173,-0.12000480019210481
38-1482-03,368.48584,0.0
38-1482-03,368.502507,0.0
38-1482-03,368.519173,0.0
38-1482-03,368.53584,0.05999880002406383
38-1482-03,368.552507,-0.05999880002406383
38-1482-03,368.569173,0.0
38-1482-03,368.58584,0.11999760004770509
